beta2test,gamma2test,mu2test
0.010981679,0.003712744,0.003589904
0.010791093,0.003643066,0.003569546
0.010615796,0.003579527,0.003549993
0.010456562,0.003522545,0.003531337
0.010313809,0.00347212,0.003513664
0.010187715,0.00342834,0.003497037
0.010078371,0.003391117,0.003481549
0.009985507,0.00336045,0.003467229
0.009909064,0.003336221,0.003454134
0.009848416,0.003318012,0.003442261
0.009803176,0.003305703,0.003431651
0.009772837,0.003298938,0.003422278
0.009756416,0.003297478,0.003414166
0.009753525,0.003300935,0.003407264
0.009763181,0.003308862,0.003401557
0.00978455,0.003320903,0.003396994
0.009816587,0.003336698,0.00339354
0.00985831,0.003355593,0.003391141
0.009908587,0.003377199,0.003389728
0.009966284,0.003400981,0.003389245
0.010030121,0.003426284,0.003389612
0.010098845,0.003452838,0.003390756
0.010171324,0.003479749,0.003392613
0.010246038,0.003506839,0.003395102
0.010321707,0.003533423,0.00339815
0.010397196,0.003559113,0.003401691
0.010471165,0.003583491,0.003405637
0.010542661,0.003606349,0.003409937
0.010610551,0.003627271,0.003414533
0.010674059,0.003646135,0.003419352
0.010732383,0.003662974,0.003424373
0.010785073,0.003677666,0.003429541
0.010831833,0.003690302,0.003434822
0.010872364,0.003700882,0.003440201
0.010906845,0.003709853,0.003445649
0.010935396,0.003717214,0.003451157
0.010958344,0.003723323,0.003456742
0.010976255,0.003728449,0.003462392
0.010989636,0.003732771,0.003468138
0.010999203,0.003736615,0.003473973
0.011005759,0.003740192,0.003479922
0.011010021,0.003743857,0.003486031
0.011012822,0.003747672,0.003492305
0.011015058,0.003751934,0.003498784
0.011017174,0.003756493,0.003505483
0.011019975,0.003761798,0.003512442
0.011024147,0.00376761,0.003519663
0.011030167,0.003774107,0.003527188
0.011038542,0.0037812,0.003535017
0.0110493,0.003788948,0.00354316
0.011063039,0.003797084,0.003551623
0.011079907,0.003805786,0.003560385
0.011099577,0.003814876,0.003569457
0.011122406,0.003824204,0.003578788
0.011148125,0.003833771,0.003588373
0.011176378,0.003843367,0.003598166
0.011207104,0.003853053,0.003608108
0.011239767,0.003862709,0.003618169
0.011274219,0.003872156,0.003628287
0.011309713,0.003881514,0.003638384
0.011346042,0.003890753,0.003648392
0.011382669,0.003899813,0.003658259
0.011419028,0.003908694,0.003667909
0.011454731,0.003917337,0.003677258
0.011489481,0.003925949,0.003686255
0.011522681,0.003934443,0.0036948
0.011554152,0.003942847,0.00370287
0.011583567,0.003951341,0.003710395
0.011610657,0.003959745,0.003717324
0.011635304,0.003968149,0.003723621
0.011657447,0.003976673,0.003729263
0.011677116,0.003985167,0.003734234
0.011694253,0.00399369,0.003738529
0.011709064,0.004002214,0.003742168
0.011721611,0.004010677,0.003745148
0.01173231,0.004019022,0.00374752
0.011741281,0.004027277,0.003749314
0.011748731,0.004035235,0.003750599
0.011755168,0.004042834,0.003751424
0.011760712,0.004050136,0.003751871
0.011765748,0.004056841,0.003752026
0.011770695,0.00406307,0.003751945
0.011775702,0.004068613,0.003751719
0.011780977,0.004073739,0.003751448
0.011786908,0.004077911,0.003751203
0.011793613,0.004081607,0.003751066
0.011801213,0.004084498,0.003751123
0.011809915,0.004086733,0.003751439
0.01181972,0.004088402,0.00375208
0.011830717,0.004089475,0.003753087
0.011842847,0.004090011,0.003754532
0.011856109,0.004090101,0.003756437
0.011870533,0.004089892,0.003758806
0.011885762,0.004089534,0.003761685
0.011901915,0.004088968,0.00376505
0.011918694,0.004088342,0.003768891
0.01193589,0.004087836,0.003773174
0.011953533,0.004087389,0.003777891
0.011971176,0.004087091,0.003782961
0.011988819,0.004086942,0.003788343
0.012006164,0.00408715,0.003793958
0.012023091,0.004087657,0.003799743
0.012039304,0.004088312,0.003805605
0.012054682,0.004089236,0.003811452
0.012069166,0.004090309,0.003817204
0.012082487,0.004091561,0.003822747
0.012094557,0.004092962,0.003828016
0.012105376,0.004094333,0.003832913
0.012114614,0.004095584,0.003837335
0.012122393,0.004096776,0.003841221
0.012128681,0.004097849,0.003844491
0.012133271,0.004098564,0.003847098
0.012136221,0.004099011,0.003848991
0.012137502,0.00409925,0.003850138
0.012137204,0.004099131,0.003850511
0.012135178,0.004098564,0.003850106
0.012131602,0.00409776,0.003848916
0.012126505,0.004096657,0.003846982
0.012119889,0.004095376,0.003844348
0.012111902,0.004093826,0.003841025
0.012102485,0.004092217,0.003837112
0.012091756,0.004090458,0.003832665
0.012079895,0.004088819,0.003827763
0.01206696,0.004087269,0.003822488
0.012053132,0.004085988,0.003816924
0.01203844,0.004084826,0.003811172
0.012023091,0.004083931,0.003805321
0.012007237,0.004083395,0.003799474
0.011990964,0.004083276,0.003793711
0.011974484,0.004083395,0.003788105
0.011958033,0.004083902,0.00378274
0.011941671,0.004084736,0.003777698
0.011925578,0.004085749,0.003773007
0.011909992,0.004086852,0.003768736
0.011894971,0.004088014,0.003764924
0.011880577,0.004089296,0.003761584
0.011867106,0.004090399,0.003758738
0.011854589,0.004091203,0.003756377
0.011842996,0.00409168,0.003754491
0.011832446,0.00409174,0.003753066
0.011822969,0.004091203,0.003752056
0.011814475,0.004090101,0.003751427
0.011806995,0.004088283,0.003751108
0.011800379,0.0040856,0.003751049
0.011794478,0.004082173,0.003751162
0.011789113,0.004077941,0.003751388
0.011784196,0.004072964,0.003751636
0.011779368,0.004067242,0.00375182
0.01177448,0.004060745,0.003751859
0.011769146,0.004053682,0.003751674
0.011763155,0.004045963,0.003751186
0.011756241,0.004037917,0.003750304
0.011748016,0.004029453,0.003748968
0.01173839,0.004020751,0.003747127
0.011726797,0.00401172,0.003744707
0.011713266,0.004002601,0.003741676
0.011697441,0.003993481,0.003738007
0.011679322,0.003984392,0.003733665
0.011658728,0.003975272,0.003728667
0.011635691,0.003966272,0.003722996
0.01161021,0.003957421,0.003716677
0.011582315,0.003948599,0.00370974
0.011552364,0.003939867,0.00370222
0.011520237,0.003931254,0.003694159
0.01148665,0.003922612,0.00368563
0.011451691,0.003913969,0.003676665
0.01141566,0.003905326,0.003667361
0.011379182,0.003896564,0.003657764
0.011342675,0.003887832,0.003647971
0.011306435,0.003878921,0.003638011
0.011271149,0.003869891,0.003627992
0.011237115,0.003860831,0.003617972
0.01120472,0.003851652,0.003608009
0.01117444,0.003842443,0.003598154
0.011146516,0.003833264,0.003588468
0.011121392,0.003824204,0.003578997
0.01109907,0.003815353,0.003569761
0.011079669,0.00380668,0.003560811
0.011063367,0.003798336,0.003552148
0.011050105,0.003790528,0.003543788
0.011039704,0.003783077,0.003535745
0.011031866,0.003776133,0.003528011
0.011026174,0.003769875,0.003520572
0.011022389,0.003764123,0.003513423
0.011019945,0.003758997,0.003506544
0.011017978,0.003754348,0.003499898
0.01101613,0.003750116,0.003493476
0.011013627,0.003746212,0.003487232
0.011009574,0.003742486,0.003481156
0.011003196,0.003738701,0.003475225
0.010993749,0.003734708,0.003469384
0.010980547,0.003730208,0.003463647
0.010962814,0.003725022,0.003457984
0.010940015,0.003718883,0.003452373
0.010911703,0.003711432,0.003446814
0.01087746,0.003702462,0.003441313
0.010836959,0.003691733,0.003435889
0.010790437,0.003679246,0.003430534
0.010737896,0.003664613,0.003425297
0.010679573,0.003647924,0.00342021
0.010616183,0.003629118,0.003415298
0.010548353,0.003608346,0.003410626
0.010476917,0.003585696,0.003406233
0.010402858,0.003561407,0.003402198
0.010327339,0.003535897,0.003398574
0.010251492,0.003509492,0.003395432
0.010176569,0.003482491,0.003392851
0.010103911,0.003455609,0.003390911
0.010034889,0.003429174,0.003389683
0.009970605,0.003403664,0.003389234
0.00991255,0.003379822,0.003389633
0.009861678,0.003358096,0.003390977
0.009819388,0.003339052,0.003393302
0.009786665,0.003322989,0.003396681
0.009764582,0.003310591,0.003401181
0.009754181,0.003302276,0.003406826
0.009756237,0.003298402,0.003413674
0.009771615,0.003299356,0.003421754
0.00980106,0.003305435,0.003431061
0.009845316,0.003317207,0.003441623
0.009904832,0.003334671,0.003453455
0.009980261,0.003358454,0.003466508
0.010072053,0.003388315,0.003480786
0.010180235,0.003424704,0.003496236
0.010305166,0.003467709,0.003512809
0.010446787,0.003517479,0.003530446
0.010604888,0.003573686,0.003549063
0.010779083,0.003636539,0.003568581
0.010968715,0.003705591,0.0035889
